time patch freq1 populationSize simulation interval
1 V1 0.5 100 1 10
2 V1 0.53 100 1 10
3 V1 0.72 100 1 10
4 V1 0.81 100 1 10
5 V1 0.83 100 1 10
6 V1 0.73 100 1 10
7 V1 0.84 100 1 10
8 V1 0.81 100 1 10
9 V1 0.85 5 1 10
10 V1 0.15 15 1 10
11 V1 0.37 37 1 10
12 V1 0.61 61 1 10
13 V1 0.78 81 1 10
14 V1 0.87 92 1 10
15 V1 0.95 98 1 10
16 V1 0.94 98 1 10
17 V1 0.97 98 1 10
18 V1 0.98 100 1 10
19 V1 0.98 5 1 10
20 V1 0.12 13 1 10
21 V1 0.2 20 1 10
22 V1 0.3 32 1 10
23 V1 0.57 61 1 10
24 V1 0.81 85 1 10
25 V1 0.89 95 1 10
26 V1 0.94 98 1 10
27 V1 0.9 98 1 10
28 V1 0.97 100 1 10
29 V1 0.95 5 1 10
30 V1 0.08 16 1 10
31 V1 0.26 46 1 10
32 V1 0.49 77 1 10
33 V1 0.56 86 1 10
34 V1 0.63 97 1 10
35 V1 0.55 98 1 10
36 V1 0.56 98 1 10
37 V1 0.57 98 1 10
38 V1 0.64 99 1 10
39 V1 0.72 5 1 10
40 V1 0.1 12 1 10
41 V1 0.2 30 1 10
42 V1 0.41 48 1 10
43 V1 0.71 82 1 10
44 V1 0.82 91 1 10
45 V1 0.97 98 1 10
46 V1 0.97 98 1 10
47 V1 0.97 100 1 10
48 V1 0.98 100 1 10
49 V1 1 5 1 10
50 V1 0.08 15 1 10
51 V1 0.18 34 1 10
52 V1 0.3 58 1 10
53 V1 0.45 79 1 10
54 V1 0.62 90 1 10
55 V1 0.68 96 1 10
56 V1 0.75 97 1 10
57 V1 0.8 99 1 10
58 V1 0.91 100 1 10
59 V1 0.93 5 1 10
60 V1 0.15 18 1 10
61 V1 0.33 41 1 10
62 V1 0.51 63 1 10
63 V1 0.66 77 1 10
64 V1 0.71 88 1 10
65 V1 0.8 93 1 10
66 V1 0.81 98 1 10
67 V1 0.81 100 1 10
68 V1 0.82 100 1 10
69 V1 0.83 5 1 10
70 V1 0.13 14 1 10
71 V1 0.25 30 1 10
72 V1 0.42 49 1 10
73 V1 0.66 76 1 10
74 V1 0.73 86 1 10
75 V1 0.84 95 1 10
76 V1 0.94 100 1 10
77 V1 0.96 100 1 10
78 V1 0.96 100 1 10
79 V1 0.94 5 1 10
80 V1 0.11 11 1 10
81 V1 0.21 21 1 10
82 V1 0.33 33 1 10
83 V1 0.51 52 1 10
84 V1 0.73 76 1 10
85 V1 0.85 93 1 10
86 V1 0.87 96 1 10
87 V1 0.8 97 1 10
88 V1 0.75 99 1 10
89 V1 0.81 5 1 10
90 V1 0.12 15 1 10
91 V1 0.24 27 1 10
92 V1 0.5 55 1 10
93 V1 0.74 80 1 10
94 V1 0.89 93 1 10
95 V1 0.91 98 1 10
96 V1 0.92 99 1 10
97 V1 0.95 100 1 10
98 V1 0.95 100 1 10
99 V1 0.94 5 1 10
100 V1 0.11 15 1 10
101 V1 0.25 32 1 10
